,City,Country,Eat_rank
0,Paris,France,19
1,Stockholm,Sweden,1
2,London,UK,8
3,Berlin,Germany,15
4,Munich,Germany,15
5,Oporto,Portugal,18
6,Milan,Italy,20
7,Bratislava,Slovakia,0
8,Vienna,Austria,16
9,Rome,Italy,20
10,Barcelona,Spain,18
11,Madrid,Spain,18
12,Dublin,Ireland,8
13,Brussels,Belgium,14
14,Zurich,Switzerland,0
15,Warsaw,Poland,11
16,Budapest,Hungary,10
17,Copenhagen,Denmark,1
18,Amsterdam,the Nethelands,12
19,Lyon,France,19
20,Hamburg,Germany,15
21,Lisbon,Portugal,18
22,Prague,Czech,6
23,Oslo,Norway,0
24,Helsinki,Finland,1
25,Edinburgh,UK,9
26,Geneva,Switzerland,0
27,Ljubljana,Slovenia,5
28,Athens,Greece,17
29,Luxembourg,Luxembourg,7
30,Krakow,Poland,11
